State	County	FIPS Code	1st Dose_04012021	2nd Dose_04012021	Single Dose_04012021	Total Dose_04012021	1st Dose_04022021	2nd Dose_04022021	Single Dose_04022021	Total Dose_04022021	1st Dose_04032021	2nd Dose_04013021	Single Dose_04032021	Total Dose_04032021	1st Dose_04042021	2nd Dose_04042021	Single Dose_04042021	Total Dose_04042021	1st Dose_04052021	2nd Dose_04052021	Single Dose_04052021	Total Dose_04052021	1st Dose_04062021	2nd Dose_04062021	Single Dose_04062021	Total Dose_04062021	1st Dose_04072021	2nd Dose_04072021	Single Dose_04072021	Total Dose_04072021	1st Dose_04082021	2nd Dose_04082021	Single Dose_04082021	Total Dose_04082021	1st Dose_04092021	2nd Dose_04092021	Single Dose_04092021	Total Dose_04092021	1st Dose_04102021	2nd Dose_04102021	Single Dose_04102021	Total Dose_04102021	1st Dose_04112021	2nd Dose_04112021	Single Dose_04112021	Total Dose_04112021	1st Dose_04122021	2nd Dose_04122021	Single Dose_04122021	Total Dose_04122021	1st Dose_04132021	2nd Dose_04132021	Single Dose_04132021	Total Dose_04132021	1st Dose_04142021	2nd Dose_04142021	Single Dose_04142021	Total Dose_04142021	1st Dose_04152021	2nd Dose_04152021	Single Dose_04152021	Total Dose_04152021	1st Dose_04162021	2nd Dose_04162021	Single Dose_04162021	Total Dose_04162021	1st Dose_04172021	2nd Dose_04172021	Single Dose_04172021	Total Dose_04172021	1st Dose_04182021	2nd Dose_04182021	Single Dose_04182021	Total Dose_04182021	1st Dose_04192021	2nd Dose_04192021	Single Dose_04192021	Total Dose_04192021	1st Dose_04202021	2nd Dose_04202021	Single Dose_04202021	Total Dose_04202021	1st Dose_04212021	2nd Dose_04212021	Single Dose_04212021	Total Dose_04212021	1st Dose_04222021	2nd Dose_04222021	Single Dose_04222021	Total Dose_04222021	1st Dose_04232021	2nd Dose_04232021	Single Dose_04232021	Total Dose_04232021	1st Dose_04242021	2nd Dose_04242021	Single Dose_04242021	Total Dose_04242021	1st Dose_04252021	2nd Dose_04252021	Single Dose_04252021	Total Dose_04252021	1st Dose_04262021	2nd Dose_04262021	Single Dose_04262021	Total Dose_04262021	1st Dose_04272021	2nd Dose_04272021	Single Dose_04272021	Total Dose_04272021	1st Dose_04282021	2nd Dose_04282021	Single Dose_04282021	Total Dose_04282021	1st Dose_04292021	2nd Dose_04292021	Single Dose_04292021	Total Dose_04292021	1st Dose_04302021	2nd Dose_04302021	Single Dose_04302021	Total Dose_04302021	1st Dose_05012021	2nd Dose_05012021	Single Dose_05012021	Total Dose_05012021	1st Dose_05022021	2nd Dose_05022021	Single Dose_05022021	Total Dose_05022021	1st Dose_05032021	2nd Dose_05032021	Single Dose_05032021	Total Dose_05032021	1st Dose_05042021	2nd Dose_05042021	Single Dose_05042021	Total Dose_05042021	1st Dose_05052021	2nd Dose_05052021	Single Dose_05052021	Total Dose_05052021	1st Dose_05062021	2nd Dose_05062021	Single Dose_05062021	Total Dose_05062021	1st Dose_05072021	2nd Dose_05072021	Single Dose_05072021	Total Dose_05072021	1st Dose_05082021	2nd Dose_05082021	Single Dose_05082021	Total Dose_05082021	1st Dose_05092021	2nd Dose_05092021	Single Dose_05092021	Total Dose_05092021	1st Dose_05102021	2nd Dose_05102021	Single Dose_05102021	Total Dose_05102021	1st Dose_05112021	2nd Dose_05112021	Single Dose_05112021	Total Dose_05112021	1st Dose_05122021	2nd Dose_05122021	Single Dose_05122021	Total Dose_05122021	1st Dose_05132021	2nd Dose_05132021	Single Dose_05132021	Total Dose_05132021	1st Dose_05142021	2nd Dose_05142021	Single Dose_05142021	Total Dose_05142021	1st Dose_05152021	2nd Dose_05152021	Single Dose_05152021	Total Dose_05152021	1st Dose_05162021	2nd Dose_05162021	Single Dose_05162021	Total Dose_05162021	1st Dose_05172021	2nd Dose_05172021	Single Dose_05172021	Total Dose_05172021	1st Dose_05182021	2nd Dose_05182021	Single Dose_05182021	Total Dose_05182021	1st Dose_05192021	2nd Dose_05192021	Single Dose_05192021	Total Dose_05192021	1st Dose_05202021	2nd Dose_05202021	Single Dose_05202021	Total Dose_05202021	1st Dose_05212021	2nd Dose_05212021	Single Dose_05212021	Total Dose_05212021	1st Dose_05222021	2nd Dose_05222021	Single Dose_05222021	Total Dose_05222021	1st Dose_05232021	2nd Dose_05232021	Single Dose_05232021	Total Dose_05232021	1st Dose_05242021	2nd Dose_05242021	Single Dose_05242021	Total Dose_05242021	1st Dose_05252021	2nd Dose_05252021	Single Dose_05252021	Total Dose_05252021	1st Dose_05262021	2nd Dose_05262021	Single Dose_05262021	Total Dose_05262021	1st Dose_05272021	2nd Dose_05272021	Single Dose_05272021	Total Dose_05272021	1st Dose_05282021	2nd Dose_05282021	Single Dose_05282021	Total Dose_05282021	1st Dose_05292021	2nd Dose_05292021	Single Dose_05292021	Total Dose_05292021	1st Dose_05302021	2nd Dose_05302021	Single Dose_05302021	Total Dose_05302021	1st Dose_05312021	2nd Dose_05312021	Single Dose_05312021	Total Dose_05312021
Alabama	Alabama	04000US01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1581194	1264920	0	2759652	1587749	1276876	0	2777307	1590814	1280421	0	2783329	1592549	1281959	0	2985158	1597941	1291103	0	2797171	1605852	1301223	0	2816794	1612162	1308401	0	2829625	1625262	1318446	0	2851368	1629626	1323222	0	2859946	1632820	1327402	0	2866896	1633936	1328861	0	2869268	1639838	1334906	0	2880786	1647279	1343664	0	2895900	1651447	1349264	0	2905172	1655125	1354602	0	2913654	1655125	1354602	0	2913654	1655125	1354602	0	2913654	1655125	1354602	0	2913654
Alabama	State Totals		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1581194	1264920	0	2759652	1587749	1276876	0	2777307	1590814	1280421	0	2783329	1592549	1281959	0	2786441	1597941	1291103	0	2799897	1605852	1301223	0	2816794	1612162	1308401	0	2829625	1625262	1318446	0	2851368	1629626	1323123	0	2859946	1632820	1327402	0	2866896	1633936	1328861	0	2869268	1639838	1334906	0	2880786	1647279	1343664	0	2895900	1651447	1349264	0	2905172	1655125	1354602	0	2913654	1655125	1354602	0	2913654	1655125	1354602	0	2913654	1655125	1354602	0	2913654
Alabama	Autauga County, Alabama	05000US01001	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15137	11612	0	25962	15274	11784	0	26248	15302	11811	0	26297	15320	11829	0	26331	15387	11912	0	26465	15475	12036	0	26668	15535	12110	0	26799	15675	12213	0	27032	15695	12247	0	27081	15729	12312	0	27177	15738	12324	0	27197	15774	12357	0	27263	15861	12430	0	27419	15884	12470	0	27478	15947	12507	0	27574	15947	12507	0	27574	15947	12507	0	27574	15947	12507	0	27574
Alabama	Baldwin County, Alabama	05000US01003	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	67329	53549	0	118405	67544	53943	0	118951	67660	54104	0	119206	67729	54170	0	119333	67942	54550	0	119904	68246	54928	0	120505	68581	55250	0	121150	69071	55610	0	121931	69182	55737	0	122159	69494	56060	0	122664	69552	56142	0	122795	69744	56466	0	123304	70011	56809	0	123871	70170	57068	0	124266	70257	57214	0	124470	70257	57214	0	124470	70257	57214	0	124470	70257	57214	0	124470
Alabama	Barbour County, Alabama	05000US01005	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6048	4947	0	10619	6078	4985	0	10687	6083	4995	0	10702	6088	5002	0	10714	6113	5021	0	10754	5422	4394	0	9415	6520	5065	0	11200	6704	5087	0	11400	6858	5097	0	11562	6871	5102	0	11580	6879	5113	0	11596	6888	5121	0	11612	7035	5180	0	11797	7050	5197	0	11829	7086	5248	0	11914	7086	5248	0	11914	7086	5248	0	11914	7086	5248	0	11914
Alabama	Bibb County, Alabama	05000US01007	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5359	4255	0	9220	5376	4307	0	9290	5384	4318	0	9307	5387	4323	0	9315	5406	4360	0	9370	5422	4394	0	9415	5436	4438	0	9473	5469	4473	0	9540	5485	4500	0	9583	5490	4518	0	9605	5493	4523	0	9613	6281	4537	0	10414	6313	4572	0	10479	6331	4594	0	1057	6338	4608	0	10538	6338	4608	0	10538	6338	4608	0	10538	6338	4608	0	10538
Alabama	Blount County, Alabama	05000US01009	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15154	11712	0	25861	15218	11786	0	25994	15258	11805	0	26047	15276	11811	0	26071	15353	11892	0	26220	15438	12012	0	26413	15504	12096	0	26549	15608	12240	0	26793	15659	12300	0	26902	15731	12336	0	27008	15736	12351	0	27027	15789	12435	0	27155	15886	12529	0	27338	15921	12594	0	27437	15959	12666	0	27543	15959	12666	0	27543	15959	12666	0	27543	15959	12666	0	27543
Alabama	Bullock County, Alabama	05000US01011	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3943	3138	0	6948	3938	3141	0	6946	3937	3147	0	6951	3939	3147	0	6953	3945	3147	0	6959	3950	3153	0	6970	3964	3157	0	6987	3980	3176	0	7021	3990	3189	0	7037	3993	3189	0	7040	3993	3190	0	7041	3995	3192	0	7045	4036	3217	0	7104	4039	3221	0	7111	4041	3237	0	7129	4041	3237	0	7129	4041	3237	0	7129	4041	3237	0	7129
Alabama	Butler County, Alabama	05000US01013	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5798	4501	0	9778	5810	4526	0	9812	5832	4534	0	9841	5833	4539	0	9847	5849	4574	0	9898	5870	4591	0	9936	5885	4609	0	9966	5910	4627	0	10004	5912	4640	0	10019	5917	4645	0	10029	5922	4653	0	10042	5929	4669	0	10065	5949	4717	0	10133	5962	4729	0	10154	5969	4741	0	10173	5969	4741	0	10173	5969	4741	0	10173	5969	4741	0	10173
Alabama	Calhoun County, Alabama	05000US01015	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	31865	25484	0	55505	32000	25748	0	55882	32065	25825	0	56018	32085	25855	0	56067	32186	26104	0	56391	32316	26317	0	56720	32441	26498	0	57020	32633	26800	0	57495	32683	26918	0	57656	32708	26964	0	57726	32728	26983	0	57766	32864	27069	0	57981	32985	27189	0	58214	33022	27253	0	58310	33194	27371	0	58597	33194	27371	0	58597	33194	27371	0	58597	33194	27371	0	58597
